Id,Section,Name,Price,Total Sold,Total Reviews,Shop Location,Sold Status
4738129276,Acne Care,ตามินผิวขาว สิว ฝ้า กระ อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น grape seed วิตามินซี วิตามินอี อาหารเสริมเพื่อผิวสวย กลูต้า คอลลาเจน,380.0,0.0,4.0,Samut Prakan,Unsold
2595904691,Acne Care,🔥ส่งฟรี! ส่งไว🔥 แอลแซด ซิงค์ LZ Zinc  หน้ามัน ฟื้นฟูผิว เคลียร์จบเรื่องสิวๆ (ซื้อ 1 แถม 1) รับสินค้า 1-2 วัน,279.0,152.0,60.0,Saraburi,Sold
2961837360,Acne Care,1 แถม 1ส่งฟรี❤️‍🔥 แถมสครับ 1:1 amoni zinc อาโมนิซิงค์ (shining) ลดสิว ลดรอย สร้างภูมิ,109.0,271.0,61.0,Phra Nakhon Si Ayutthaya,Sold
4308865983,Acne Care,ซิงก์ แอนด์ คอลลาเจน ซิงก์แคปซูล ซิงก์ แอนด์ คอลลาเจน กิฟฟารีน ZINC & COLLAGEN GIFFARINE,390.0,25.0,7.0,Chiang Mai,Sold
4256468704,Acne Care,Colla Ac By Dr Awie วิตามินสิว,549.0,6.0,1.0,Nonthaburi,Sold
4190006442,Acne Care,Irina ไอริน่า 🍒 (2 ชิ้นลดอีก) คอลลาเจนลดสิว ✨กู้ผิวข้ามคืน คอลลาเจนรสชาติดี,290.0,13.0,3.0,Bangkok,Sold
4711088528,Acne Care,วิตามินดีพราว Deproud Bio Multi C ดีพราวด์วิตามินซีสด Deproud Bio Vitaminc,89.0,0.0,0.0,Kanchanaburi,Unsold
1057938081,Acne Care,70% OFF ราคา Sale!!! โปรดอ่าน EXP: 12/2023 คีเลต ซิงค์ Chelated Zinc (Gluconate) 50 mg 250 Tablets (PipingRock®) สังกะสี Piping Rock,350.0,12.0,0.0,Chiang Mai,Sold
4716729370,Acne Care,1 แถม 1 กลูต้าส้มเลือด ของแท้ glutawithme กลูต้าวิทมี WITH ME  ส้มเลือดสามสายพันธุ์ ตัวช่วยลดสิว ผิวขาว,250.0,0.0,0.0,Songkhla,Unsold
4746501502,Acne Care,🍀พร้อมส่ง ส่งฟรี🍀 TRUVITAR Gotu Kola Plus Zinc 30 แคปซูล ผลิตภัณฑ์เสริมอาหารสารสกัดจากใบบัวบกชนิดแคปซูล จัดการปัญหาสิวแบบตรงจุด !! (1แถม1),319.0,6.0,5.0,Saraburi,Sold
4416845688,Acne Care,❗️ของแท้ ส่งฟรี❗️มานามิ คอลลาเจน & มาเอมิ กลูต้า By Puiinun Gluta Collagen Manami Maemi,1000.0,0.0,1.0,Bangkok,Unsold
2702559839,Acne Care,Zinc​ [ซิงค์​] 60cap,269.0,0.0,0.0,Rayong,Unsold
3021883449,Acne Care,DHC ZINC 60 วัน ดีเอชซี ซิงค์ สังกะสี,149.0,1129.0,257.0,Bangkok,Sold
141456838,Acne Care,Amsel Zinc Vitamin Premix (แอมเซล ซิงค์ พลัส วิตามินพรีมิกซ์) 30 Capsules,112.0,3318.0,510.0,Chonburi,Sold
4698919013,Acne Care,Akane Lyco Brink อากาเนะ ไลโค บริ้ง เสกผิวใส หน้าบริ้ง ( 1 ห่อ 30 ซอง ),390.0,15.0,4.0,Bangkok,Sold
641118150,Acne Care,Vistra Gotu Kola Extract Plus Zinc วิสทร้า  สารสกัดใบบัวบก [30 เม็ด],192.0,739.0,118.0,Pathum Thani,Sold
2595923484,Acne Care,[ส่งฟรี! พร้อมส่ง] แอลแซด ซิงค์ LZ Zinc อาหารเสริมสำหรับผิว 60 แคปซูล  (ซื้อ 1 แถม 1) รับสินค้า 1-2 วัน,273.42,338.0,100.0,Saraburi,Sold
4712079584,Acne Care,Vistra Set ลดสิวผิวมัน ป้องกันการเกิดสิวอักเสบ (vistra Gotu kola 30เม็ด) (vistra zinc 45เม็ด) #โทนเนอร์  #สิว  #ป้องกันสิว  #ลดสิว  #ลดรอยดำ  #รักษาสิว,778.17,0.0,0.0,Pathum Thani,Unsold
4646762352,Acne Care,[ Yong-Won วิตตามินซอฟเจลเกาหลี ยองวอน ] โปรสุดพิเศษ 1 แถม 1 ส่งฟรี! ของแท้ 100% จบปัญหาสิวรอยดำ ช่วยให้มีสุขภาพผิวที่ดีขึ้น เร่งขาวผิวเนียนใส,290.0,13.0,5.0,Ratchaburi,Sold
339450955,Acne Care,อาหารเสริม สำหรับผู้ชายและผู้หญิง กิฟฟารีน Giffarine #ซิ้งค์ #คอลลาเจน #Collagen #สิว #หน้ามัน #ผมร่วง #ผมหลุดร่วง #มีบุตรยาก #อ่อนเพลีย,520.0,10.0,1.0,Bangkok,Sold
230237081,Acne Care,Vistra Gotu Kola Extract Plus Zinc (30 แคปซูล) วิสทร้า โกตู พลัส ซิงค์,177.0,1235.0,84.0,Phatthalung,Sold
4738104411,Acne Care,วิตามินผิวขาว สิว ฝ้า กระ อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น grape seed วิตามินซี วิตามินอี อาหารเสริมเพื่อผิวสวย กลูต้า คอลลาเจน องุ่น 30 เม,380.0,0.0,1.0,Bangkok,Unsold
1998678219,Acne Care,Vistra KIWI Extract  วิสทร้า สารสกัดกีวี ผลิตภัณฑ์เสริมอาหารเพื่อจัดการปัญหาสิวครบสูตร 30 เม็ด [Exp.06/23],319.0,5.0,4.0,Lamphun,Sold
4183159002,Acne Care,[ส่งฟรี! พร้อมส่ง] แอลแซด ซิงค์ LZ Zinc ลดสิว รอยสิว ฟื้นฟูผิว เสริมภูมิคุ้มกัน  (ซื้อ 1 แถม 1) รับสินค้า 1-2 วัน,279.0,49.0,10.0,Saraburi,Sold
2595908405,Acne Care,[พร้อมส่ง! ส่งไว] แอลแซด ซิงค์ LZ Zinc ลดสิว รอยสิว ฟื้นฟูผิว เสริมภูมิคุ้มกัน (60 แคปซูล) รับสินค้า 1-2 วัน,116.0,1099.0,219.0,Saraburi,Sold
2535580864,Acne Care,Nakiz lively nose  ครีมลอกสิวเสี้ยน นาคิส,158.0,4744.0,703.0,Samut Prakan,Sold
4736167383,Acne Care,อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น วิตามินซี วิตามินอี จุดดำสิว จุดแดงสิว กรตุ้นกลูต้า คอลลาเจน Grape Seed 580บาท,560.0,7.0,2.0,Bangkok,Sold
346780443,Acne Care,Vistra Gotu Kola Extract Plus Zinc วิสทร้า โกตู โคลา พลัส ซิงค์ [30 เม็ด],192.0,4408.0,771.0,Pathum Thani,Sold
4626639135,Acne Care,DHC X BESTURAL คอลลาเจนกัมมี่ คอลลาเจนเยลลี่ collagen กินง่าย ผิวสวย,238.0,0.0,1.0,Bangkok,Unsold
1732758023,Acne Care,คอลลาเจนกระดูก คอลลาเจน CollaJoy by Dr.awie 1 กระปุกมี 30 เม็ด [ของแท้ ส่งฟรี Kerry] Collagen คอลลาเจนไขข้อ คอลาเจนข้อเข่า คอลลาเจนข้อต่อ คอลลาเจนปวดข้อ,750.0,48.0,25.0,Chiang Mai,Sold
1024080872,Acne Care,🔥ส่งฟรี สั่งเลย🚚 VITAMORES ผลิตภัณฑ์เสริมอาหาร สารสกัดจากเปลือกมังคุด ชนิดแคปซูล ดูแลผิวสวย หน้าใส ไร้จุดด่างดำที่เกิดจากสิว (1แถม1),279.0,0.0,0.0,Saraburi,Unsold
2846997790,Acne Care,ซื้อ 2 ขวด ถูกกว่า Amsel Zinc plus Vitamin Premix แอมเซล ซิงค์ พลัส วิตามินพรีมิกซ์ บำรุง ผม เล็บ,210.0,8.0,1.0,Phatthalung,Sold
1900512242,Acne Care,Colla ac คอลลาเจนลดสิว by dr awie [ส่งฟรี Kerry ] คอลลาเจนสิวฝ้า คอลาเจนแก้สิว 1 กระปุก มี 30 แคปซูล คอลลาเจนญี่ปุ่นคอลลาเจนลดสิวโดยหมอ,590.0,189.0,37.0,Chiang Mai,Sold
4359404537,Acne Care,Dhc Vitamin c 20 วัน exp 2024,79.0,26.0,1.0,Nonthaburi,Sold
4743165277,Acne Care,อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น วิตามินซี วิตามินอี จุดดำสิว จุดแดงสิว กรตุ้นกลูต้า คอลลาเจน Grape Seed,580.0,0.0,1.0,Samut Prakan,Unsold
4506588403,Acne Care,Chame ชาเม่ คริสตอล คอลลาเจน ผลิตภัณฑ์เสริมอาหาร (2 กล่อง แถม 20 ซอง) #125414,1490.0,0.0,0.0,Bangkok,Unsold
4660848630,Acne Care,[ ×12 กล่อง ] วิตามิน อาหารเสริมผิวขาว  เพรสแอนด์เชค กลิ่นฟรุ๊ตพั้นช์คอลลาเจน 2000 มก. 3.5g,250.0,0.0,0.0,Bangkok,Unsold
4780566813,Acne Care,EXP.2025🇯🇵DHC Daisu Isofura Bon (20/30Days) สารสกัดจากถั่วเหลือง ปรับสมดุลฮอร์โมนในร่างกาย ป้องกันสิว ลดรอยแดงสิว,258.0,0.0,0.0,Bangkok,Unsold
4358925806,Beauty Supplements Value Sets,YUUKI X3​ Collagen Snowy 15000​ mg. (พร้อมส่ง),200.0,11.0,1.0,Samut Prakan,Sold
4683387096,Beauty Supplements Value Sets,Wisdoma Lyco Tomato มะเขือเทศ100% ไลโคปีนLycopene  (30แค็ปซูล),255.0,9.0,0.0,Udon Thani,Sold
4689758066,Beauty Supplements Value Sets,DHC Vitamin C (60 วัน / 120 เม็ด) วิตามินซี **ล๊อตใหม่ล่าสุด**,119.0,1430.0,294.0,Pathum Thani,Sold
2913049923,Beauty Supplements Value Sets,[พร้อมส่งมีบัตรตัวแทน] คอลลาเจน โจจู  JOJU Collagen 1กระปุกของแท้,290.0,818.0,110.0,Bangkok,Sold
2827543386,Beauty Supplements Value Sets,[ล็อตใหม่พร้อมส่งมีบัตรตัวแทน]คอลลาเจนโจจู  JOJU Collagen ของแท้100% (1กะปุก30เม็ด),290.0,1863.0,295.0,Bangkok,Sold
4092860792,Beauty Supplements Value Sets,NBL DHA Omega-3 ดีเอชเอจากน้ำมันปลาแซลม่อน (30 แคปซูล),162.0,5921.0,717.0,Bangkok,Sold
4501601394,Beauty Supplements Value Sets,ZEAvita collagen 70x  1 กล่อง จำนวน 8 ซอง (ขายส่ง),199.0,0.0,0.0,Lamphun,Unsold
4140545585,Beauty Supplements Value Sets,LARRITA วิตามินบูสผิว (ปรางทิพย์ เดอะว๊อยซ์) โกโก้คอลลาเจน วิตามินซี วิตซี  (1กระปุก ขนาด150 กรัม),130.0,549.0,46.0,Bangkok,Sold
4081445922,Beauty Supplements Value Sets,วิตามินซี ชนิดชงละลายน้ำ สูตรเข้มข้น (Fulfill Great to C),150.0,1454.0,235.0,Phichit,Sold
4620147748,Beauty Supplements Value Sets,ของแท้ ส่งฟรี!! 1 แถม 1 BTO กลูต้า ของแท้ บีทีโอ Gluta คอลลาเจน ผิวขาวใส ดูอ่อนวัย,290.0,303.0,48.0,Si Sa Ket,Sold
